bus_id,trips,numRecharge,numTrips,gapTime
1,"BA2,AC3,CB4",0,3,45.0
2,"BA5,AB7",0,2,65.0
3,"AB1,BC4",0,2,255.0
4,"AB3,BA6",0,2,25.0
5,"AC2,CA3,CS1,AC4",1,4,140.0
6,"BA1,AB2",0,2,65.0
7,"DC1,CD5",0,2,110.0
8,"AD1,DA2,AB4,CS1,BA8",1,5,110.0
9,"CD3,DC3",0,2,45.0
10,"AD3,DC5",0,2,50.0
11,"CD1,DC2,CB3,CS1,BA7",1,5,215.0
12,"BC2,CD4,CS1,DC4",1,4,50.0
13,"AD2,DA3,CS1,BA8",1,4,170.0
14,"CB1,BA3,CS1,CA4,AD5",1,5,120.0
15,"AC1,CA2,CS1,AB5",1,4,85.0
16,"BC1,CB2,BC3,CS1,CA5,AC5",1,6,185.0
17,"CD2,DA1,CS1,DA4,AB8",1,5,165.0
18,"CA1,AD4,CS1,DA5",1,4,290.0
19,"BA4,AB6",0,2,95.0
